  Floor  Tower    Jmax     Max-(X)   Ave-(X)        h

                  JmaxD    Max-Dx    Ave-Dx     Max-Dx/h    DxR/Dx    Ratio_AX

    8     1     8000089      4.21     4.11         2950

                8000071      0.49     0.48       1/6014     13.11%    1.00

    7     1     7000181      3.74     3.65         2950

                7000001      0.56     0.54       1/5302     15.27%    0.87

    6     1     6000001      3.20     3.12         2950

                6000181      0.64     0.63       1/4605      8.56%    1.02

    5     1     5000001      2.58     2.51         2950

                5000001      0.69     0.68       1/4249      2.23%    1.03

    4     1     4000001      1.89     1.84         2950

                4000181      0.71     0.70       1/4161      7.16%    0.94

    3     1     3000181      1.19     1.15         2950

                3000001      0.66     0.65       1/4476     31.01%    0.81

    2     1     2000001      0.53     0.50         2950

                2000100      0.46     0.45       1/6409     92.36%    0.55

    1     1     1000181      0.07     0.06         5100

                1000181      0.07     0.06       1/9999    100.00%    0.06

