     **********************************************************
                                     位移输出文件
     **********************************************************

     采用强制刚性楼板假定模型计算结果
     单位    : mm

     Floor   : 层号
     Tower   : 塔号
     Jmax    : 最大位移对应的节点号
     JmaxD   : 最大层间位移对应的节点号
     Max-(Z) : Z方向的节点最大位移
     h       : 层高
     Max-(X)，Max-(Y)   : X,Y方向的节点最大位移
     Ave-(X)，Ave-(Y)   : X,Y方向的层平均位移
     Max-Dx ，Max-Dy    : X,Y方向的最大层间位移
     Ave-Dx ，Ave-Dy    : X,Y方向的平均层间位移
     Ratio-(X),Ratio-(Y): 最大位移与层平均位移的比值
     Ratio-Dx,Ratio-Dy  : 最大层间位移与平均层间位移的比值
     Max-Dx/h，Max-Dy/h : X,Y方向的最大层间位移角
     DxR/Dx,DyR/Dy      : X,Y方向的有害位移角占总位移角的百分比例
     Ratio_AX,Ratio_AY  : 本层位移角与上层位移角的1.3倍及上三层平均位移角的1.2倍的比值的大者
     X-Disp，Y-Disp，Z-Disp:节点X,Y,Z方向的位移

  === 工况17 === X 方向地震作用下的楼层最大位移

  Floor  Tower    Jmax     Max-(X)   Ave-(X)        h
                  JmaxD    Max-Dx    Ave-Dx     Max-Dx/h    DxR/Dx    Ratio_AX

                5000135      2.04     1.80       1/1547     21.10%    0.66
    4     1     4000135      4.41     3.79         3150
                4000135      1.71     1.42       1/1840     25.28%    0.61
    3     1     3000145      2.70     2.38         3150
                3000145      1.36     0.80       1/2321     17.83%    0.57
    2     1     2000045      1.36     1.28         3150
                2000045      0.95     0.88       1/3299     53.05%    0.63
    1     1     1000117      0.42     0.41         3150
                1000117      0.42     0.41       1/7525    100.00%    0.36

  Y向最大层间位移角：  1/952  (19层1塔)

  === 工况19 === 地震方向 60 下的楼层最大位移

  Floor  Tower    Jmax     Max-(Y)   Ave-(Y)        h
                  JmaxD    Max-Dy    Ave-Dy     Max-Dy/h    DyR/Dy    Ratio_AY

   31     1    31000081     66.03    63.05         3150
               31000081      2.28     2.15       1/1379      2.33%    1.00
   30     1    30000081     63.91    61.04         3150
               30000081      2.34     2.21       1/1345      2.61%    0.79
   29     1    29000081     61.76    59.00         3150
               29000081      2.41     2.26       1/1307      2.74%    0.86
   28     1    28000081     59.56    56.91         3150
               28000081      2.48     2.33       1/1270      2.59%    0.88
   27     1    27000081     57.32    54.79         3150
               27000081      2.55     2.39       1/1237      2.30%    0.88
   26     1    26000081     55.02    52.61         3150
               26000081      2.61     2.44       1/1208      1.95%    0.87
   25     1    25000081     52.68    50.39         3150
               25000081      2.66     2.49       1/1184      1.57%    0.87
   24     1    24000081     50.30    48.13         3150
               24000081      2.70     2.53       1/1166      1.20%    0.86
   23     1    23000081     47.88    45.83         3150
               23000081      2.73     2.57       1/1153      0.85%    0.86
   22     1    22000081     45.42    43.49         3150
               22000081      2.75     2.59       1/1143      0.52%    0.85
   21     1    21000081     42.93    41.12         3150
               21000081      2.77     2.60       1/1138      0.20%    0.85
   20     1    20000081     40.41    38.73         3150
               20000081      2.77     2.61       1/1137      0.21%    0.84
   19     1    19000081     37.88    36.32         3150
               19000081      2.76     2.61       1/1140      0.30%    0.83
   18     1    18000081     35.34    33.89         3150
               18000081      2.75     2.60       1/1144      0.52%    0.83
   17     1    17000081     32.78    31.46         3150
               17000081      2.74     2.59       1/1151      0.76%    0.83
   16     1    16000081     30.22    29.01         3150
               16000081      2.71     2.57       1/1161      1.04%    0.82
   15     1    15000081     27.67    26.57         3150
               15000081      2.68     2.54       1/1173      1.41%    0.82
   14     1    14000081     25.11    24.14         3150
               14000081      2.65     2.51       1/1191      1.61%    0.81
   13     1    13000081     22.58    21.72         3150
               13000081      2.60     2.47       1/1210      2.03%    0.81
   12     1    12000081     20.07    19.32         3150
               12000081      2.55     2.42       1/1235      2.59%    0.80
   11     1    11000081     17.60    16.96         3150
               11000081      2.48     2.36       1/1268      3.37%    0.80
   10     1    10000081     15.18    14.65         3150
               10000081      2.40     2.28       1/1313      4.12%    0.79
    9     1     9000081     12.83    12.40         3150
                9000081      2.30     2.19       1/1370      5.35%    0.77
    8     1     8000081     10.57    10.24         3150
                8000081      2.17     2.07       1/1450      7.09%    0.76
    7     1     7000081      8.42     8.18         3150
                7000081      2.01     1.92       1/1566      9.74%    0.74
    6     1     6000081      6.44     6.27         3150
                6000081      1.80     1.73       1/1751     13.71%    0.70
    5     1     5000184      4.66     4.55         3150
                5000081      1.53     1.49       1/2064     21.80%    0.66
    4     1     4000184      3.18     3.09         3150
                4000184      1.25     1.18       1/2526     26.35%    0.60
    3     1     3000088      2.04     1.96         3150
                3000191      0.97     0.59       1/3244     17.45%    0.57
    2     1     2000051      1.21     1.09         3150
                2000051      0.81     0.74       1/3879     51.32%    0.64
    1     1     1000061      0.41     0.36         3150
                1000061      0.41     0.36       1/7698    100.00%    0.37

  Y向最大层间位移角：  1/1137  (20层1塔)

  === 工况23 === 最不利地震方向 196.521 下的楼层最大位移

  Floor  Tower    Jmax     Max-(X)   Ave-(X)        h
                  JmaxD    Max-Dx    Ave-Dx     Max-Dx/h    DxR/Dx    Ratio_AX

   31     1    31000081     69.28    60.50         3150
               31000081      1.92     1.70       1/1643      4.76%    1.00
   30     1    30000081     67.51    58.92         3150
               30000081      2.01     1.78       1/1566      4.88%    0.81
   29     1    29000081     65.68    57.28         3150
               29000081      2.11     1.87       1/1492      5.03%    0.89
   28     1    28000081     63.78    55.59         3150
               28000081      2.22     1.96       1/1419      4.69%    0.92
   27     1    27000081     61.80    53.82         3150
               27000081      2.33     2.05       1/1354      4.19%    0.92
   26     1    26000081     59.73    51.98         3150
               26000081      2.43     2.14       1/1298      3.62%    0.91
   25     1    25000081     57.58    50.07         3150
               25000081      2.52     2.21       1/1251      3.05%    0.90
   24     1    24000081     55.35    48.09         3150
               24000081      2.60     2.28       1/1213      2.52%    0.89
   23     1    23000081     53.04    46.05         3150
               23000081      2.67     2.34       1/1182      2.03%    0.88
   22     1    22000081     50.66    43.95         3150
               22000081      2.72     2.39       1/1157      1.59%    0.87
   21     1    21000081     48.21    41.79         3150
               21000081      2.77     2.42       1/1137      1.14%    0.86
   20     1    20000081     45.70    39.59         3150
               20000081      2.81     2.45       1/1122      0.56%    0.86
   19     1    19000081     43.14    37.34         3150
               19000081      2.83     2.47       1/1114      0.58%    0.85
   18     1    18000081     40.53    35.06         3150
               18000081      2.85     2.48       1/1106      0.38%    0.84
   17     1    17000081     37.89    32.75         3150
               17000081      2.86     2.49       1/1101      0.17%    0.84
   16     1    16000081     35.20    30.41         3150
               16000081      2.87     2.49       1/1097      0.09%    0.84
   15     1    15000081     32.48    28.04         3150
               15000081      2.87     2.49       1/1097      0.49%    0.83
   14     1    14000081     29.73    25.66         3150
               14000081      2.86     2.48       1/1101      0.53%    0.83
   13     1    13000081     26.98    23.27         3150
               13000081      2.85     2.46       1/1105      0.86%    0.83
   12     1    12000081     24.21    20.88         3150
               12000081      2.83     2.44       1/1113      1.36%    0.82
   11     1    11000081     21.44    18.50         3150
               11000081      2.79     2.41       1/1127      2.14%    0.82
   10     1    10000081     18.70    16.13         3150
               10000081      2.74     2.36       1/1151      2.68%    0.81
    9     1     9000081     16.00    13.81         3150
                9000081      2.66     2.29       1/1182      3.77%    0.80
    8     1     8000081     13.36    11.54         3150
                8000081      2.56     2.21       1/1228      5.36%    0.78
    7     1     7000081     10.82     9.35         3150
                7000081      2.42     2.09       1/1299      7.87%    0.76
    6     1     6000081      8.40     7.27         3150
                6000081      2.23     1.92       1/1412     11.93%    0.73
    5     1     5000081      6.18     5.36         3150
                5000081      1.96     1.69       1/1608     22.09%    0.68
    4     1     4000081      4.23     3.67         3150
                4000081      1.52     1.32       1/2068     27.26%    0.60
    3     1     3000088      2.74     2.37         3150
                3000088      1.17     0.73       1/2689      8.53%    0.56
    2     1     2000031      1.68     1.41         3150
                2000031      1.15     0.95       1/2744     46.75%    0.70
    1     1     1000061      0.55     0.48         3150
                1000061      0.55     0.48       1/5770    100.00%    0.41

  X向最大层间位移角：  1/1097  (15层1塔)

  === 工况20 === 地震方向 150 下的楼层最大位移

  Floor  Tower    Jmax     Max-(X)   Ave-(X)        h
                  JmaxD    Max-Dx    Ave-Dx     Max-Dx/h    DxR/Dx    Ratio_AX

   31     1    31000135     62.23    54.44         3150
               31000135      1.78     1.62       1/1766      4.08%    1.00
   30     1    30000135     60.63    52.98         3150
               30000135      1.86     1.68       1/1692      4.17%    0.80
   29     1    29000135     58.97    51.46         3150
               29000135      1.94     1.75       1/1620      4.29%    0.89
   28     1    28000135     57.26    49.90         3150
               28000135      2.03     1.83       1/1550      4.01%    0.90
   27     1    27000135     55.49    48.29         3150
               27000135      2.12     1.90       1/1486      3.57%    0.90
   26     1    26000135     53.64    46.61         3150
               26000135      2.20     1.97       1/1431      3.09%    0.90
   25     1    25000135     51.72    44.88         3150
               25000135      2.27     2.03       1/1385      2.61%    0.89
   24     1    24000135     49.74    43.10         3150
               24000135      2.34     2.08       1/1347      2.17%    0.88
   23     1    23000135     47.69    41.26         3150
               23000135      2.39     2.12       1/1315      1.77%    0.87
   22     1    22000135     45.57    39.37         3150
               22000135      2.44     2.16       1/1289      1.41%    0.87
   21     1    21000135     43.40    37.43         3150
               21000135      2.48     2.19       1/1268      1.06%    0.86
   20     1    20000135     41.17    35.45         3150
               20000135      2.52     2.22       1/1252      0.55%    0.85
   19     1    19000135     38.88    33.43         3150
               19000135      2.54     2.23       1/1242      0.56%    0.85
   18     1    18000135     36.56    31.38         3150
               18000135      2.56     2.24       1/1232      0.35%    0.84
   17     1    17000135     34.20    29.30         3150
               17000135      2.57     2.25       1/1225      0.13%    0.84
   16     1    16000135     31.79    27.20         3150
               16000135      2.58     2.25       1/1221      0.14%    0.84
   15     1    15000135     29.36    25.07         3150
               15000135      2.58     2.25       1/1219      0.55%    0.83
   14     1    14000135     26.90    22.93         3150
               14000135      2.58     2.23       1/1223      0.67%    0.83
   13     1    13000135     24.43    20.79         3150
               13000135      2.56     2.22       1/1228      1.04%    0.82
   12     1    12000135     21.95    18.65         3150
               12000135      2.55     2.20       1/1238      1.56%    0.82
   11     1    11000135     19.47    16.51         3150
               11000135      2.51     2.16       1/1254      2.34%    0.81
   10     1    10000135     17.00    14.40         3150
               10000135      2.46     2.11       1/1280      2.94%    0.80
    9     1     9000135     14.58    12.32         3150
                9000135      2.40     2.05       1/1314      4.04%    0.79
    8     1     8000135     12.21    10.31         3150
                8000135      2.31     1.96       1/1366      5.58%    0.78
    7     1     7000135      9.92     8.36         3150
                7000135      2.18     1.85       1/1442      8.00%    0.76
    6     1     6000135      7.75     6.53         3150
                6000135      2.02     1.70       1/1561     11.67%    0.73
    5     1     5000135      5.74     4.83         3150
                5000135      1.79     1.51       1/1760     20.66%    0.68
    4     1     4000135      3.96     3.34         3150
                4000135      1.45     1.20       1/2177     25.56%    0.61
    3     1     3000145      2.52     2.14         3150
                3000145      1.14     0.76       1/2770      8.83%    0.57
    2     1     2000117      1.39     1.21         3150
                2000045      0.96     0.81       1/3275     48.21%    0.70
    1     1     1000117      0.47     0.42         3150
                1000117      0.47     0.42       1/6695    100.00%    0.40

  X向最大层间位移角：  1/1219  (15层1塔)

  === 工况2 === +X 方向风荷载作用下的楼层最大位移

  Floor  Tower    Jmax     Max-(X)   Ave-(X)    Ratio-(X)       h
                  JmaxD    Max-Dx    Ave-Dx     Ratio-Dx    Max-Dx/h    DxR/Dx    Ratio_AX

   31     1    31000086     12.17    11.85        1.03         3150
               31000092      0.27     0.27        1.00       1/9999      3.96%    1.00
   30     1    30000086     11.89    11.58        1.03         3150
               30000431      0.28     0.28        1.00       1/9999      4.33%    0.80
   29     1    29000083     11.61    11.30        1.03         3150
               29000086      0.29     0.29        1.00       1/9999      4.90%    0.89
   28     1    28000086     11.32    11.01        1.03         3150
               28000431      0.31     0.31        1.00       1/9999      5.07%    0.91
   27     1    27000083     11.01    10.70        1.03         3150
               27000083      0.33     0.32        1.00       1/9647      5.06%    0.92
   26     1    26000086     10.68    10.37        1.03         3150
               26000519      0.34     0.34        1.00       1/9161      4.91%    0.92
   25     1    25000086     10.34    10.03        1.03         3150
               25000083      0.36     0.36        1.00       1/8711      4.68%    0.92
   24     1    24000086      9.97     9.67        1.03         3150
               24000431      0.38     0.37        1.00       1/8303      4.39%    0.91
   23     1    23000083      9.60     9.30        1.03         3150
               23000083      0.40     0.39        1.00       1/7936      4.07%    0.91
   22     1    22000086      9.20     8.91        1.03         3150
               22000086      0.41     0.41        1.00       1/7610      3.70%    0.91
   21     1    21000083      8.78     8.50        1.03         3150
               21000083      0.43     0.42        1.00       1/7323      3.27%    0.90
   20     1    20000086      8.35     8.08        1.03         3150
               20000431      0.45     0.44        1.00       1/7077      2.60%    0.89
   19     1    19000083      7.91     7.65        1.03         3150
               19000086      0.46     0.45        1.00       1/6884      2.49%    0.88
   18     1    18000086      7.45     7.20        1.04         3150
               18000492      0.47     0.46        1.00       1/6705      2.16%    0.88
   17     1    17000086      6.98     6.74        1.04         3150
               17000490      0.48     0.47        1.00       1/6552      1.78%    0.87
   16     1    16000083      6.50     6.27        1.04         3150
               16000083      0.49     0.48        1.00       1/6427      1.32%    0.87
   15     1    15000083      6.01     5.80        1.04         3150
               15000431      0.50     0.48        1.00       1/6333      0.69%    0.86
   14     1    14000086      5.51     5.32        1.04         3150
               14000086      0.50     0.49        1.00       1/6280      0.42%    0.85
   13     1    13000083      5.01     4.83        1.04         3150
               13000431      0.50     0.49        1.00       1/6245      0.11%    0.84
   12     1    12000083      4.51     4.34        1.04         3150
               12000083      0.50     0.49        1.00       1/6244      0.78%    0.84
   11     1    11000086      4.00     3.85        1.04         3150
               11000431      0.50     0.48        1.00       1/6284      1.69%    0.83
   10     1    10000083      3.50     3.37        1.04         3150
               10000086      0.49     0.48        1.00       1/6384      2.31%    0.81
    9     1     9000086      3.01     2.90        1.04         3150
                9000083      0.48     0.46        1.00       1/6529      3.41%    0.80
    8     1     8000086      2.53     2.43        1.04         3150
                8000492      0.47     0.45        1.00       1/6754      4.93%    0.79
    7     1     7000083      2.06     1.98        1.04         3150
                7000431      0.44     0.43        1.00       1/7101      7.17%    0.77
    6     1     6000083      1.62     1.56        1.04         3150
                6000083      0.41     0.40        1.00       1/7645     10.91%    0.74
    5     1     5000086      1.20     1.16        1.04         3150
                5000083      0.37     0.35        1.00       1/8592     20.41%    0.69
    4     1     4000083      0.84     0.81        1.04         3150
                4000139      0.33     0.27        1.00       1/9584     26.60%    0.61
    3     1     3000075      0.62     0.54        1.14         3150
                3000105      0.26     0.16        1.00       1/9999      2.98%    0.56
    2     1     2000031      0.47     0.36        1.29         3150
                2000031      0.31     0.23        1.00       1/9999     49.01%    0.75
    1     1     1000031      0.17     0.12        1.37         3150
                1000031      0.17     0.12        1.00       1/9999    100.00%    0.39

  X向最大层间位移角：  1/6244  (12层1塔)
  X方向最大位移与层平均位移的比值：  1.37  (1层1塔)
  X方向最大层间位移与平均层间位移的比值：  1.00  (31层1塔)

  === 工况3 === -X 方向风荷载作用下的楼层最大位移

  Floor  Tower    Jmax     Max-(X)   Ave-(X)    Ratio-(X)       h
                  JmaxD    Max-Dx    Ave-Dx     Ratio-Dx    Max-Dx/h    DxR/Dx    Ratio_AX

   31     1    31000086     12.17    11.85        1.03         3150
               31000092      0.27     0.27        1.00       1/9999      3.96%    1.00
   30     1    30000086     11.89    11.58        1.03         3150
               30000431      0.28     0.28        1.00       1/9999      4.33%    0.80
   29     1    29000083     11.61    11.30        1.03         3150
               29000086      0.29     0.29        1.00       1/9999      4.90%    0.89
   28     1    28000086     11.32    11.01        1.03         3150
               28000431      0.31     0.31        1.00       1/9999      5.07%    0.91
   27     1    27000083     11.01    10.70        1.03         3150
               27000083      0.33     0.32        1.00       1/9647      5.06%    0.92
   26     1    26000086     10.68    10.37        1.03         3150
               26000519      0.34     0.34        1.00       1/9161      4.91%    0.92
   25     1    25000086     10.34    10.03        1.03         3150
               25000083      0.36     0.36        1.00       1/8711      4.68%    0.92
   24     1    24000086      9.97     9.67        1.03         3150
               24000431      0.38     0.37        1.00       1/8303      4.39%    0.91
   23     1    23000083      9.60     9.30        1.03         3150
               23000083      0.40     0.39        1.00       1/7936      4.07%    0.91
   22     1    22000086      9.20     8.91        1.03         3150
               22000086      0.41     0.41        1.00       1/7610      3.70%    0.91
   21     1    21000083      8.78     8.50        1.03         3150
               21000083      0.43     0.42        1.00       1/7323      3.27%    0.90
   20     1    20000086      8.35     8.08        1.03         3150
               20000431      0.45     0.44        1.00       1/7077      2.60%    0.89
   19     1    19000083      7.91     7.65        1.03         3150
               19000086      0.46     0.45        1.00       1/6884      2.49%    0.88
   18     1    18000086      7.45     7.20        1.04         3150
               18000492      0.47     0.46        1.00       1/6705      2.16%    0.88
   17     1    17000086      6.98     6.74        1.04         3150
               17000490      0.48     0.47        1.00       1/6552      1.78%    0.87
   16     1    16000083      6.50     6.27        1.04         3150
               16000083      0.49     0.48        1.00       1/6427      1.32%    0.87
   15     1    15000083      6.01     5.80        1.04         3150
               15000431      0.50     0.48        1.00       1/6333      0.69%    0.86
   14     1    14000086      5.51     5.32        1.04         3150
               14000086      0.50     0.49        1.00       1/6280      0.42%    0.85
   13     1    13000083      5.01     4.83        1.04         3150
               13000431      0.50     0.49        1.00       1/6245      0.11%    0.84
   12     1    12000083      4.51     4.34        1.04         3150
               12000083      0.50     0.49        1.00       1/6244      0.78%    0.84
   11     1    11000086      4.00     3.85        1.04         3150
               11000431      0.50     0.48        1.00       1/6284      1.69%    0.83
   10     1    10000083      3.50     3.37        1.04         3150
               10000086      0.49     0.48        1.00       1/6384      2.31%    0.81
    9     1     9000086      3.01     2.90        1.04         3150
                9000083      0.48     0.46        1.00       1/6529      3.41%    0.80
    8     1     8000086      2.53     2.43        1.04         3150
                8000492      0.47     0.45        1.00       1/6754      4.93%    0.79
    7     1     7000083      2.06     1.98        1.04         3150
                7000431      0.44     0.43        1.00       1/7101      7.17%    0.77
    6     1     6000083      1.62     1.56        1.04         3150
                6000083      0.41     0.40        1.00       1/7645     10.91%    0.74
    5     1     5000086      1.20     1.16        1.04         3150
                5000083      0.37     0.35        1.00       1/8592     20.41%    0.69
    4     1     4000083      0.84     0.81        1.04         3150
                4000139      0.33     0.27        1.00       1/9584     26.60%    0.61
    3     1     3000075      0.62     0.54        1.14         3150
                3000105      0.26     0.16        1.00       1/9999      2.98%    0.56
    2     1     2000031      0.47     0.36        1.29         3150
                2000031      0.31     0.23        1.00       1/9999     49.01%    0.75
    1     1     1000031      0.17     0.12        1.37         3150
                1000031      0.17     0.12        1.00       1/9999    100.00%    0.39

  X向最大层间位移角：  1/6244  (12层1塔)
  X方向最大位移与层平均位移的比值：  1.37  (1层1塔)
  X方向最大层间位移与平均层间位移的比值：  1.00  (31层1塔)

  === 工况4 === +Y 方向风荷载作用下的楼层最大位移

  Floor  Tower    Jmax     Max-(Y)   Ave-(Y)    Ratio-(Y)       h
                  JmaxD    Max-Dy    Ave-Dy     Ratio-Dy    Max-Dy/h    DyR/Dy    Ratio_AY

   31     1    31000120     47.44    46.78        1.01         3150
               31000081      1.41     1.38        1.02       1/2240      1.70%    1.00
   30     1    30000120     46.08    45.40        1.01         3150
               30000081      1.43     1.41        1.02       1/2204      2.13%    0.78
   29     1    29000120     44.69    43.99        1.02         3150
               29000081      1.46     1.44        1.02       1/2159      2.56%    0.86
   28     1    28000120     43.28    42.55        1.02         3150
               28000413      1.49     1.47        1.01       1/2107      2.80%    0.87
   27     1    27000120     41.83    41.08        1.02         3150
               27000081      1.53     1.51        1.01       1/2053      2.91%    0.88
   26     1    26000186     40.33    39.57        1.02         3150
               26000081      1.58     1.56        1.01       1/1998      2.91%    0.88
   25     1    25000120     38.79    38.01        1.02         3150
               25000413      1.62     1.60        1.01       1/1945      2.83%    0.88
   24     1    24000120     37.21    36.40        1.02         3150
               24000081      1.66     1.65        1.01       1/1895      2.68%    0.88
   23     1    23000120     35.57    34.75        1.02         3150
               23000081      1.70     1.69        1.01       1/1849      2.48%    0.88
   22     1    22000186     33.89    33.06        1.02         3150
               22000081      1.74     1.74        1.00       1/1808      2.23%    0.88
   21     1    21000120     32.16    31.33        1.03         3150
               21000413      1.78     1.77        1.00       1/1772      1.93%    0.87
   20     1    20000120     30.39    29.55        1.03         3150
               20000322      1.81     1.81        1.00       1/1742      1.47%    0.87
   19     1    19000120     28.58    27.74        1.03         3150
               19000120      1.84     1.83        1.00       1/1712      1.22%    0.86
   18     1    18000186     26.74    25.91        1.03         3150
               18000322      1.87     1.86        1.00       1/1688      0.88%    0.86
   17     1    17000120     24.87    24.05        1.03         3150
               17000120      1.89     1.87        1.01       1/1670      0.47%    0.85
   16     1    16000120     22.99    22.18        1.04         3150
               16000120      1.90     1.88        1.01       1/1658      0.01%    0.85
   15     1    15000120     21.09    20.29        1.04         3150
               15000186      1.90     1.88        1.01       1/1654      0.57%    0.84
   14     1    14000186     19.18    18.41        1.04         3150
               14000120      1.90     1.87        1.01       1/1660      1.03%    0.83
   13     1    13000186     17.29    16.54        1.05         3150
               13000186      1.88     1.85        1.02       1/1672      1.67%    0.82
   12     1    12000120     15.40    14.69        1.05         3150
               12000186      1.86     1.82        1.02       1/1696      2.44%    0.81
   11     1    11000186     13.54    12.87        1.05         3150
               11000186      1.82     1.78        1.02       1/1733      3.39%    0.80
   10     1    10000186     11.73    11.09        1.06         3150
               10000186      1.76     1.72        1.03       1/1787      4.32%    0.79
    9     1     9000186      9.96     9.37        1.06         3150
                9000322      1.69     1.64        1.03       1/1859      5.68%    0.77
    8     1     8000120      8.27     7.73        1.07         3150
                8000120      1.61     1.55        1.04       1/1959      7.47%    0.75
    7     1     7000120      6.66     6.18        1.08         3150
                7000186      1.50     1.43        1.05       1/2101     10.06%    0.73
    6     1     6000120      5.16     4.74        1.09         3150
                6000186      1.37     1.29        1.06       1/2304     13.56%    0.70
    5     1     5000120      3.79     3.45        1.10         3150
                5000322      1.21     1.12        1.08       1/2614     19.50%    0.66
    4     1     4000186      2.59     2.34        1.11         3150
                4000120      1.02     0.87        1.18       1/3095     28.57%    0.62
    3     1     3000108      1.60     1.44        1.11         3150
                3000108      0.82     0.35        2.34       1/3847     18.79%    0.55
    2     1     2000063      0.94     0.80        1.18         3150
                2000063      0.62     0.54        1.00       1/5078     54.26%    0.62
    1     1     1000061      0.33     0.26        1.26         3150
                1000061      0.33     0.26        1.00       1/9515    100.00%    0.35

  Y向最大层间位移角：  1/1654  (15层1塔)
  Y方向最大位移与层平均位移的比值：  1.26  (1层1塔)
  Y方向最大层间位移与平均层间位移的比值：  2.34  (3层1塔)

  === 工况5 === -Y 方向风荷载作用下的楼层最大位移

  Floor  Tower    Jmax     Max-(Y)   Ave-(Y)    Ratio-(Y)       h
                  JmaxD    Max-Dy    Ave-Dy     Ratio-Dy    Max-Dy/h    DyR/Dy    Ratio_AY

   31     1    31000120     47.44    46.78        1.01         3150
               31000413      1.41     1.38        1.02       1/2240      1.70%    1.00
   30     1    30000186     46.08    45.40        1.01         3150
               30000081      1.43     1.41        1.02       1/2204      2.13%    0.78
   29     1    29000186     44.69    43.99        1.02         3150
               29000081      1.46     1.44        1.02       1/2159      2.56%    0.86
   28     1    28000120     43.28    42.55        1.02         3150
               28000413      1.49     1.47        1.01       1/2107      2.80%    0.87
   27     1    27000120     41.83    41.08        1.02         3150
               27000081      1.53     1.51        1.01       1/2053      2.91%    0.88
   26     1    26000120     40.33    39.57        1.02         3150
               26000081      1.58     1.56        1.01       1/1998      2.91%    0.88
   25     1    25000120     38.79    38.01        1.02         3150
               25000413      1.62     1.60        1.01       1/1945      2.83%    0.88
   24     1    24000186     37.21    36.40        1.02         3150
               24000081      1.66     1.65        1.01       1/1895      2.68%    0.88
   23     1    23000186     35.57    34.75        1.02         3150
               23000081      1.70     1.69        1.01       1/1849      2.48%    0.88
   22     1    22000120     33.89    33.06        1.02         3150
               22000413      1.74     1.74        1.00       1/1808      2.23%    0.88
   21     1    21000186     32.16    31.33        1.03         3150
               21000413      1.78     1.77        1.00       1/1772      1.93%    0.87
   20     1    20000120     30.39    29.55        1.03         3150
               20000322      1.81     1.81        1.00       1/1742      1.47%    0.87
   19     1    19000186     28.58    27.74        1.03         3150
               19000120      1.84     1.83        1.00       1/1712      1.22%    0.86
   18     1    18000120     26.74    25.91        1.03         3150
               18000322      1.87     1.86        1.00       1/1688      0.88%    0.86
   17     1    17000120     24.87    24.05        1.03         3150
               17000120      1.89     1.87        1.01       1/1670      0.47%    0.85
   16     1    16000120     22.99    22.18        1.04         3150
               16000120      1.90     1.88        1.01       1/1658      0.01%    0.85
   15     1    15000186     21.09    20.29        1.04         3150
               15000120      1.90     1.88        1.01       1/1654      0.57%    0.84
   14     1    14000186     19.18    18.41        1.04         3150
               14000120      1.90     1.87        1.01       1/1660      1.03%    0.83
   13     1    13000186     17.29    16.54        1.05         3150
               13000120      1.88     1.85        1.02       1/1672      1.67%    0.82
   12     1    12000186     15.40    14.69        1.05         3150
               12000120      1.86     1.82        1.02       1/1696      2.44%    0.81
   11     1    11000120     13.54    12.87        1.05         3150
               11000120      1.82     1.78        1.02       1/1733      3.39%    0.80
   10     1    10000120     11.73    11.09        1.06         3150
               10000186      1.76     1.72        1.03       1/1787      4.32%    0.79
    9     1     9000120      9.96     9.37        1.06         3150
                9000322      1.69     1.64        1.03       1/1859      5.68%    0.77
    8     1     8000186      8.27     7.73        1.07         3150
                8000120      1.61     1.55        1.04       1/1959      7.47%    0.75
    7     1     7000120      6.66     6.18        1.08         3150
                7000120      1.50     1.43        1.05       1/2101     10.06%    0.73
    6     1     6000186      5.16     4.74        1.09         3150
                6000186      1.37     1.29        1.06       1/2304     13.56%    0.70
    5     1     5000120      3.79     3.45        1.10         3150
                5000322      1.21     1.12        1.08       1/2614     19.50%    0.66
    4     1     4000120      2.59     2.34        1.11         3150
                4000120      1.02     0.87        1.18       1/3095     28.57%    0.62
    3     1     3000108      1.60     1.44        1.11         3150
                3000108      0.82     0.35        2.34       1/3847     18.79%    0.55
    2     1     2000063      0.94     0.80        1.18         3150
                2000063      0.62     0.54        1.00       1/5077     54.26%    0.62
    1     1     1000061      0.33     0.26        1.26         3150
                1000061      0.33     0.26        1.00       1/9514    100.00%    0.35

  Y向最大层间位移角：  1/1654  (15层1塔)
  Y方向最大位移与层平均位移的比值：  1.26  (1层1塔)
  Y方向最大层间位移与平均层间位移的比值：  2.34  (3层1塔)

  === 工况16 === 竖向恒载作用下的楼层最大位移

  Floor  Tower    Jmax       Max-(Z)

   31      1  31000101        -4.14
   30      1  30000101        -4.61
   29      1  29000101        -5.19
   28      1  28000101        -5.71
   27      1  27000101        -6.17
   26      1  26000101        -6.60
   25      1  25000101        -6.98
   24      1  24000101        -7.31
   23      1  23000101        -7.60
   22      1  22000101        -7.85
   21      1  21000101        -8.05
   20      1  20000101        -8.21
   19      1  19000101        -8.26
   18      1  18000101        -8.35
   17      1  17000101        -8.39
   16      1  16000101        -8.39
   15      1  15000101        -8.35
   14      1  14000052        -8.25
   13      1  13000052        -8.23
   12      1  12000052        -8.16
   11      1  11000052        -8.04
   10      1  10000052        -7.86
    9      1   9000052        -7.66
    8      1   8000052        -7.40
    7      1   7000052        -7.10
    6      1   6000052        -6.75
    5      1   5000052        -6.86
    4      1   4000052        -6.22
    3      1   3000104        -5.58
    2      1   2000168        -3.03
    1      1   1000168        -2.43

  === 工况1 === 竖向活载作用下的楼层最大位移

  Floor  Tower    Jmax       Max-(Z)

   31      1  31000052        -2.79
   30      1  30000052        -2.77
   29      1  29000052        -2.76
   28      1  28000052        -2.75
   27      1  27000052        -2.73
   26      1  26000052        -2.70
   25      1  25000052        -2.68
