     **********************************************************
                                     位移输出文件
     **********************************************************

     采用强制刚性楼板假定模型计算结果
     单位    : mm

     Floor   : 层号
     Tower   : 塔号
     Jmax    : 最大位移对应的节点号
     JmaxD   : 最大层间位移对应的节点号
     Max-(Z) : Z方向的节点最大位移
     h       : 层高
     Max-(X)，Max-(Y)   : X,Y方向的节点最大位移
     Ave-(X)，Ave-(Y)   : X,Y方向的层平均位移
     Max-Dx ，Max-Dy    : X,Y方向的最大层间位移
     Ave-Dx ，Ave-Dy    : X,Y方向的平均层间位移
     Ratio-(X),Ratio-(Y): 最大位移与层平均位移的比值
     Ratio-Dx,Ratio-Dy  : 最大层间位移与平均层间位移的比值
     Max-Dx/h，Max-Dy/h : X,Y方向的最大层间位移角
     DxR/Dx,DyR/Dy      : X,Y方向的有害位移角占总位移角的百分比例
     Ratio_AX,Ratio_AY  : 本层位移角与上层位移角的1.3倍及上三层平均位移角的1.2倍的比值的大者
     X-Disp，Y-Disp，Z-Disp:节点X,Y,Z方向的位移

  === 工况17 === X 方向地震作用下的楼层最大位移

  Floor  Tower    Jmax     Max-(X)   Ave-(X)        h
                  JmaxD    Max-Dx    Ave-Dx     Max-Dx/h    DxR/Dx    Ratio_AX

               11000431      2.60     2.42       1/1211      2.13%    0.82
   10     1    10000086     17.49    16.28         3150
               10000431      2.55     2.37       1/1236      2.68%    0.81
    9     1     9000083     14.97    13.94         3150
                9000086      2.48     2.31       1/1269      3.76%    0.80
    8     1     8000083     12.52    11.66         3150
                8000492      2.39     2.22       1/1318      5.32%    0.78
    7     1     7000086     10.15     9.45         3150
                7000086      2.26     2.10       1/1392      7.77%    0.76
    6     1     6000083      7.90     7.36         3150
                6000083      2.09     1.94       1/1510     11.71%    0.73
    5     1     5000083      5.82     5.44         3150
                5000431      1.84     1.71       1/1713     21.73%    0.68
    4     1     4000083      3.99     3.73         3150
                4000492      1.44     1.34       1/2191     27.19%    0.60
    3     1     3000088      2.56     2.40         3150
                3000101      1.10     0.69       1/2867      7.32%    0.56
    2     1     2000031      1.62     1.45         3150
                2000045      1.12     0.98       1/2815     46.71%    0.71
    1     1     1000052      0.51     0.48         3150
                1000052      0.51     0.48       1/6158    100.00%    0.41

  X向最大层间位移角：  1/1180  (15层1塔)

  === 工况13 === X- 偶然偏心地震作用下的楼层最大位移

  Floor  Tower    Jmax     Max-(X)   Ave-(X)        h
                  JmaxD    Max-Dx    Ave-Dx     Max-Dx/h    DxR/Dx    Ratio_AX

   31     1    31000083     67.75    60.72         3150
               31000083      1.83     1.65       1/1724      5.01%    1.00
   30     1    30000086     66.06    59.19         3150
               30000431      1.92     1.73       1/1641      5.09%    0.81
   29     1    29000086     64.30    57.60         3150
               29000086      2.02     1.82       1/1561      5.26%    0.90
   28     1    28000083     62.48    55.94         3150
               28000083      2.12     1.92       1/1483      4.93%    0.92
   27     1    27000083     60.57    54.21         3150
               27000431      2.23     2.01       1/1413      4.43%    0.92
   26     1    26000086     58.57    52.40         3150
               26000519      2.33     2.10       1/1352      3.87%    0.91
   25     1    25000086     56.49    50.52         3150
               25000431      2.42     2.18       1/1301      3.31%    0.90
   24     1    24000083     54.33    48.56         3150
               24000431      2.50     2.25       1/1259      2.79%    0.90
   23     1    23000086     52.09    46.54         3150
               23000086      2.57     2.31       1/1224      2.31%    0.89
   22     1    22000083     49.77    44.44         3150
               22000431      2.64     2.37       1/1195      1.86%    0.88
   21     1    21000086     47.38    42.29         3150
               21000431      2.69     2.41       1/1172      1.42%    0.87
   20     1    20000083     44.93    40.09         3150
               20000431      2.73     2.45       1/1155      0.81%    0.86
   19     1    19000086     42.42    37.83         3150
               19000086      2.75     2.47       1/1144      0.82%    0.85
   18     1    18000083     39.87    35.54         3150
               18000431      2.78     2.49       1/1134      0.60%    0.85
   17     1    17000086     37.28    33.22         3150
               17000490      2.80     2.50       1/1127      0.37%    0.85
   16     1    16000086     34.64    30.86         3150
               16000086      2.81     2.51       1/1122      0.08%    0.84
   15     1    15000083     31.97    28.47         3150
               15000431      2.81     2.51       1/1120      0.35%    0.84
   14     1    14000086     29.27    26.06         3150
               14000086      2.81     2.50       1/1123      0.42%    0.83
   13     1    13000086     26.56    23.64         3150
               13000431      2.80     2.49       1/1127      0.78%    0.83
   12     1    12000086     23.84    21.22         3150
               12000086      2.78     2.47       1/1135      1.30%    0.82
   11     1    11000086     21.13    18.80         3150
               11000086      2.74     2.44       1/1149      2.10%    0.82
   10     1    10000083     18.43    16.40         3150
               10000083      2.69     2.39       1/1173      2.66%    0.81
    9     1     9000083     15.78    14.04         3150
                9000431      2.62     2.33       1/1204      3.74%    0.80
    8     1     8000086     13.19    11.74         3150
                8000492      2.52     2.24       1/1251      5.31%    0.78
    7     1     7000083     10.69     9.52         3150
                7000431      2.38     2.12       1/1322      7.77%    0.76
    6     1     6000083      8.32     7.42         3150
                6000083      2.20     1.95       1/1434     11.72%    0.73
    5     1     5000086      6.14     5.47         3150
                5000431      1.94     1.73       1/1627     21.82%    0.68
    4     1     4000086      4.21     3.76         3150
                4000492      1.52     1.35       1/2078     27.22%    0.60
    3     1     3000101      2.70     2.41         3150
                3000088      1.16     0.72       1/2710      7.57%    0.56
